ObservedAt:	
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_3.5_071.fit
	Total no of stars: 2508
	Radius of star diaphragm: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 1      Star ADU 2      Star ADU 3      Star ADU 4      Star ADU 5      Star ADU 6      Star ADU 7      Star ADU 8      Star ADU 9     Star ADU 10     Star ADU 11     Star ADU 12
          397.48          653.51          3.3393          3.1149          3.2271          739.62        14170.40        28118.65        39977.71        43617.48        44490.94        44498.50        44486.13        44464.91        44429.65        44876.39        46278.63        49046.26
          310.02           44.47          3.6526          3.5641          3.6083          739.65        13499.18        27322.18        39493.16        44086.06        45928.31        46506.19        46893.62        47455.15        48906.88        50673.19        51995.18        52883.96
          992.90          723.96          2.9619          3.0647          3.0133          736.42        17169.75        31627.96        41509.21        44072.64        44801.87        45031.63        45194.70        45383.08        45612.53        46328.73        47559.39        48623.45
          943.33          577.79          2.8717          2.6515          2.7616          732.42        18931.70        32696.27        40983.45        42979.79        43729.54        44047.33        44232.49        44435.25        44539.28        44651.62        44610.24        44285.55
          407.08          450.61          3.0401          2.7810          2.9106          754.15        16458.70        29639.10        38981.86        41828.94        42801.14        43109.37        43302.17        43488.91        43835.99        44396.23        44612.53        44893.09
           73.10          119.08          4.2047          3.5266          3.8657          752.12        11906.17        24126.83        36139.41        41930.95        44986.38        46112.70        46825.75        47571.60        48298.18        48620.65        48608.67        48324.16
          105.26          862.63          4.3309          3.9786          4.1548          738.32         9143.70        21180.07        35629.08        42335.87        45056.91        45608.26        45663.60        45776.43        45952.88        46135.60        46239.92        46287.86
          495.47          672.71          3.1678          3.1007          3.1343          735.74        15051.20        28494.77        38111.27        40769.68        41675.08        41781.75        41788.85        41988.07        42499.66        42754.13        43017.14        43365.92
          456.41          301.64          3.2106          7.3441          5.2773          734.75        14588.56        26162.00        34930.72        39536.89        48738.61        75099.93       137057.05       238920.74       333847.58       369641.55       379212.80       385976.84
           18.70          839.32          4.3274          3.7080          4.0177          738.42        10962.48        22320.13        33671.55        39900.47        43956.48        45564.95        46303.95        46689.66        47007.87        47090.43        46985.97        46911.33
