xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
75.59	111.53	0.42	0.53	0.05	25.00	0.00	179.89	2.17	-0.84
170.01	111.74	0.45	0.51	-0.17	25.00	0.00	78.84	1.10	-0.10
395.74	111.65	0.46	-0.56	-0.42	25.00	0.00	96.61	1.37	-0.34
683.88	111.52	0.51	-0.17	-0.23	25.00	0.00	91.67	1.46	-0.41
794.03	112.05	0.36	-0.28	0.02	25.00	0.00	96.43	1.80	-0.64
56.44	113.15	0.35	0.26	0.27	25.00	0.00	97.26	1.30	-0.29
596.01	113.25	0.48	0.37	0.09	25.00	0.00	72.98	1.21	-0.21
675.87	113.16	0.45	-0.14	0.14	25.00	0.00	117.10	1.86	-0.68
927.65	113.34	0.36	-0.82	-0.14	25.00	0.00	90.38	1.79	-0.63
147.16	113.90	0.46	0.23	-0.31	25.00	0.00	88.08	1.11	-0.11
383.75	113.70	0.43	0.23	0.14	25.00	0.00	80.31	1.30	-0.28
574.07	113.45	0.43	0.09	0.15	25.00	0.00	341.04	5.56	-1.86
747.21	114.11	0.46	0.49	0.10	25.00	0.00	66.39	1.22	-0.22
422.88	114.43	0.46	0.31	0.09	25.00	0.00	150.53	2.20	-0.86
739.90	114.32	0.42	0.09	0.33	25.00	0.00	73.21	1.43	-0.39
784.66	114.88	0.46	-0.11	0.10	25.00	0.00	85.31	1.36	-0.33
1003.68	114.98	0.40	-0.40	-0.56	25.00	0.00	60.43	1.04	-0.04
31.80	116.69	0.38	0.32	0.26	25.00	0.00	191.34	2.53	-1.01
241.55	116.04	0.62	-0.49	-0.19	25.00	0.00	74.52	1.02	-0.02
485.58	115.86	0.41	0.11	0.09	25.00	0.00	390.22	5.67	-1.88
583.77	116.39	0.43	0.10	0.13	25.00	0.00	214.18	3.40	-1.33
804.48	117.45	0.40	0.34	0.07	25.00	0.00	1809.10	28.54	-3.64
817.04	116.87	0.33	0.04	-0.00	25.00	0.00	55.73	1.19	-0.19
309.65	117.79	0.45	0.32	-0.02	25.00	0.00	215.77	3.14	-1.24
624.79	118.28	0.51	-0.42	0.09	25.00	0.00	74.06	1.24	-0.23
73.01	119.42	0.36	0.41	0.14	25.00	0.00	2791.44	37.32	-3.93
271.57	119.37	0.43	0.21	0.11	25.00	0.00	273.21	4.21	-1.56
298.21	120.03	0.44	0.41	0.02	25.00	0.00	120.91	1.46	-0.41
441.27	119.49	0.42	-0.15	-0.14	25.00	0.00	83.97	1.47	-0.42
662.29	119.66	0.39	-0.13	-0.03	25.00	0.00	91.82	1.50	-0.44
775.89	120.60	0.41	-0.43	0.23	25.00	0.00	113.58	1.25	-0.24
808.10	120.02	0.41	-0.06	-0.03	25.00	0.00	938.54	14.29	-2.89
44.05	121.32	0.43	0.49	-0.21	25.00	0.00	94.36	1.13	-0.13
277.75	121.08	0.42	0.05	-0.15	25.00	0.00	112.50	1.60	-0.51
339.52	121.26	0.47	0.65	0.27	25.00	0.00	72.36	1.02	-0.03
857.59	120.94	0.50	-0.72	-0.18	25.00	0.00	71.92	1.26	-0.25
317.35	121.92	0.39	-0.25	-0.61	25.00	0.00	133.98	1.69	-0.57
581.28	122.06	0.30	0.77	0.18	25.00	0.00	43.43	1.06	-0.06
641.46	122.48	0.34	0.85	-0.12	25.00	0.00	53.81	1.32	-0.30
754.64	122.06	0.43	-0.01	-0.00	25.00	0.00	806.18	13.27	-2.81
612.38	122.48	0.30	0.54	0.34	25.00	0.00	56.68	1.03	-0.03
8.58	124.39	0.37	0.21	0.13	25.00	0.00	190.07	2.24	-0.88
301.20	123.51	0.45	-0.79	0.16	25.00	0.00	127.40	1.66	-0.55
